estimator,experiment,scenario,platform,sigma_a,tdma_interval,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.005,5.0,GT init,3.1334222453126337,3.1334222453126337,2.313379226905214,5.309872444576585,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.005,5.0,GT init,0.5289545241407887,0.5289545241407887,0.2798738024412492,3.0020598588709557,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.01,5.0,GT init,2.3647831436261533,2.3647831436261533,1.4176419941207874,4.023750098382871,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.01,5.0,GT init,0.4637536635954723,0.4637536635954723,0.3999052779475783,3.012266967669119,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,GT init,2.088067313147829,2.088067313147829,1.1910839953426011,3.503786286259959,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,GT init,0.437416364970001,0.437416364970001,0.3794120026576633,3.0149881474328835,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.05,5.0,GT init,2.3042656367847276,2.3042656367847276,0.5294015532268908,3.0211118260206726,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.05,5.0,GT init,0.4159304582006954,0.4159304582006954,0.2521754807135593,3.0117731777994345,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.1,5.0,GT init,7.771598904192512,7.771598904192512,4.900738274754367,3.7417468948373287,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.1,5.0,GT init,0.4048454659036315,0.4048454659036315,0.1826426199646599,3.011989453509631,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.5,5.0,GT init,16.495441269972556,16.495441269972556,38.01498714083401,4.322090094544777,False
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.5,5.0,GT init,0.3923804153542282,0.3923804153542282,0.1553183010319277,3.017793031199126,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,1.0,5.0,GT init,18.57576920062749,18.57576920062749,39.64167512834981,4.15924383977008,False
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,1.0,5.0,GT init,0.4010090577996043,0.4010090577996043,0.1607518963556575,3.0115394954393,True
