estimator,experiment,scenario,platform,sigma_a,tdma_interval,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,1,4.25091735797207,4.25091735797207,2.396930333093752,3.1047088808966805,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,1,1.630385792730915,1.630385792730915,0.8877298070188966,3.0607949368009617,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,1,1.1849934921234295,1.1849934921234295,0.6597572858700025,3.176014103282331,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,1,1.6802427417107848,1.6802427417107848,0.8784773659126609,3.0577111383451796,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,1,2.8879461947919873,2.8879461947919873,0.6321588457826595,3.1588107116580786,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,1,2.496730934096547,2.496730934096547,0.7643086679784943,3.1061219097229635,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,10.0,1,4.471675935863016,4.471675935863016,3.854476716734457,3.3081207446526797,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,10.0,1,1.7473788006589153,1.7473788006589153,1.601596177529777,3.0786878326645715,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,10.0,1,1.087162416779215,1.087162416779215,2.516155929100459,3.0696061286974508,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,10.0,1,1.7666716221078365,1.7666716221078365,0.8662400427163284,3.0427148766553027,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,10.0,1,1.0821426668248273,1.0821426668248273,2.362498302567685,3.06238530721209,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,10.0,1,1.765452074466623,1.765452074466623,0.8634881403166393,3.040770539639256,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,20.0,1,4.951985706465951,4.951985706465951,6.446362548429906,3.387790420900318,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,20.0,1,1.8053828570017163,1.8053828570017163,1.1581718162327383,3.038604270154805,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,20.0,1,1.1572619710875631,1.1572619710875631,2.475260673705901,3.499646767155419,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,20.0,1,1.8052202476012005,1.8052202476012005,1.152246114335281,3.037447232978424,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,20.0,1,1.0967749727711276,1.0967749727711276,2.4055401621308397,3.1369354293626452,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,20.0,1,1.853668084644724,1.853668084644724,0.7655763371175857,3.0390377131282342,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,30.0,1,1127.3834700468915,1127.3834700468915,3802.7226746755887,3.929099999560406,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,30.0,1,1.792366890591073,1.792366890591073,0.938538008480439,3.0390168110015012,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,30.0,1,1.3352134157041802,1.3352134157041802,1.6370648588073975,3.193036003456416,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,30.0,1,1.812663302660842,1.812663302660842,1.2173162977151066,3.038728522693536,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,30.0,1,1.3259280292694955,1.3259280292694955,1.56431148308901,3.0854179659104264,True
