time,rov_id,message_index,position_x,position_y,position_z,t_sent_us,t_received_us,t_sent_sec,t_received_sec,tof_sec,azimuth_deg,elevation_deg
1700000000.010363,1,0,0.0,0.0,15.318061329114306,1699999999999697,1700000000010363,1699999999.999697,1700000000.0103629,0.0106658935546875,63.28773166363831,44.6710559638658
1700000020.016343,1,0,0.0,0.0,14.860651317409491,1700000020000138,1700000020016343,1700000020.0001378,1700000020.0163429,0.0162050724029541,190.52195148265344,29.119375096795704
1700000040.029314,1,0,0.0,0.0,14.390215853874132,1700000040000136,1700000040029314,1700000040.000136,1700000040.029314,0.029178142547607422,125.94389323180835,17.783536201550824
1700000060.020968,1,0,0.0,0.0,14.565281514289575,1700000060000145,1700000060020968,1700000060.000145,1700000060.020968,0.020823001861572266,100.10831176641615,27.944352831044352
1700000080.0162425,1,0,0.0,0.0,15.57658424535043,1700000079999886,1700000080016242,1700000079.999886,1700000080.016242,0.01635599136352539,14.475303735257514,40.17701336475819
1700000100.0294135,1,0,0.0,0.0,16.756610601632122,1700000099999811,1700000100029414,1700000099.999811,1700000100.029414,0.029603004455566406,61.11882976879204,20.602860379636596
1700000120.026286,1,0,0.0,0.0,17.976320725374197,1700000119999578,1700000120026286,1700000119.999578,1700000120.026286,0.026707887649536133,95.66810124726572,25.551019168579277
1700000140.027332,1,0,0.0,0.0,18.48700074809165,1700000139999786,1700000140027332,1700000139.999786,1700000140.0273318,0.027545928955078125,174.6606897187389,24.615294296232246
1700000160.0395262,1,0,0.0,0.0,18.10550728024848,1700000160000365,1700000160039526,1700000160.000365,1700000160.039526,0.039160966873168945,153.70059472560175,16.548272276197945
1700000180.0335176,1,0,0.0,0.0,17.096718329233372,1700000180000057,1700000180033518,1700000180.000057,1700000180.0335178,0.03346085548400879,139.26051623674454,18.9818945465686
1700000200.0121303,1,0,0.0,0.0,15.270004307521521,1700000199999948,1700000200012130,1700000199.999948,1700000200.01213,0.012181997299194336,218.2196986010967,54.5420204761531
1700000220.0110593,1,0,0.0,0.0,14.749265852996372,1700000219999915,1700000220011059,1700000219.999915,1700000220.0110588,0.011143922805786133,56.09519794514029,54.20833421961257
1700000240.0172274,1,0,0.0,0.0,15.293846942090491,1700000240000264,1700000240017228,1700000240.000264,1700000240.017228,0.016963958740234375,109.53496932664302,29.111907382705773
1700000260.0256789,1,0,0.0,0.0,9.875106684242976,1700000260000566,1700000260025679,1700000260.000566,1700000260.0256789,0.02511286735534668,205.05337998790512,17.531339575692105
1700000280.0325108,1,0,0.0,0.0,13.310587789903202,1700000280000513,1700000280032511,1700000280.0005128,1700000280.032511,0.0319981575012207,190.27742836730718,10.504094761720633
