estimator,experiment,scenario,platform,sigma_a,tdma_interval,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,1,2.938171718468551,2.938171718468551,2.2135539742269033,3.58753970836265,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,1,1.7069053503279614,1.7069053503279614,1.107343713558924,3.066107595893824,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,1,1.1665997103317112,1.1665997103317112,0.4571616954981103,3.1972948855388643,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,1,1.690603914994543,1.690603914994543,1.3178435670817366,3.0576472039549243,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,1,1.129639370693034,1.129639370693034,0.4542113351411254,3.19691044635327,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,1,1.6824613991863773,1.6824613991863773,1.3766847393685304,3.06242645588021,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,10.0,1,2.707480016217167,2.707480016217167,2.8043267197564687,3.222811275999582,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,10.0,1,1.7853977494801747,1.7853977494801747,0.982304798289496,3.0391938988929668,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,10.0,1,1.0269697882765134,1.0269697882765134,2.5805928813184087,3.13243264912977,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,10.0,1,1.672894534911058,1.672894534911058,0.8158581197095525,3.062458068715406,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,10.0,1,1.0793179332951397,1.0793179332951397,2.3602796682008123,3.0610764792873524,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,10.0,1,1.764354669685189,1.764354669685189,0.8696506972492781,3.0406001824697437,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,20.0,1,6.075387013469709,6.075387013469709,6.517567492098613,3.260237006284784,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,20.0,1,1.8036696985304383,1.8036696985304383,1.1287716485978667,3.040373789618462,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,20.0,1,1.1514482493100953,1.1514482493100953,2.4345266158432928,3.5146267351535454,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,20.0,1,1.8033642807083732,1.8033642807083732,1.1145933317143668,3.036043935181357,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,20.0,1,1.15020878167942,1.15020878167942,2.462420307560845,3.4622392774008324,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,20.0,1,1.80146431404546,1.80146431404546,1.1663959325052329,3.0356244702906956,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,30.0,1,685.599296540163,685.599296540163,1758.0803652505158,3.4925326508780192,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,30.0,1,1.8157129859976051,1.8157129859976051,1.1335601257957837,3.0456391453074954,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,30.0,1,1.3366426140945853,1.3366426140945853,1.627362968572485,3.18645086814122,True
