estimator,experiment,scenario,platform,sigma_a,tdma_interval,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.005,5.0,GT init,7.688851813839472,7.688851813839472,3.116441844686936,5.200910223244082,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.005,5.0,GT init,11.810706147682364,11.810706147682364,1.4371889232780273,3.1013623435644777,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.01,5.0,GT init,8.652271568991777,8.652271568991777,3.760665279064407,5.14830056172258,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.01,5.0,GT init,1.7705836783640858,1.7705836783640858,1.588448087991858,3.0982607763321175,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,GT init,8.036619275383616,8.036619275383616,3.55571034960276,4.556133453534396,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,GT init,1.7701848175115966,1.7701848175115966,1.644147465777914,3.095903010053548,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.05,5.0,GT init,104.8188137129204,104.8188137129204,226.5639454508721,3.800394897812817,False
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.05,5.0,GT init,1.7852472969785582,1.7852472969785582,1.474601634768175,3.102676208640824,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.1,5.0,GT init,104.15775581699448,104.15775581699448,210.82527679960316,4.651716494606948,False
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.1,5.0,GT init,1.7797589258350277,1.7797589258350277,1.6923307336306264,3.1298988056260244,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,0.5,5.0,GT init,464.29772279996854,464.29772279996854,174.1501468258165,3.449530287484732,False
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,0.5,5.0,GT init,1.7093102261076405,1.7093102261076405,3.049075993018863,3.1329123291200105,True
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ROV,1.0,5.0,GT init,498.8268069985549,498.8268069985549,252.06496401643133,3.5453874035570263,False
FGO,exp1_noise_sweep,FGO - Scenario 1: Bearing-only,ASV,1.0,5.0,GT init,1.750792086983874,1.750792086983874,1.5250726388324054,3.0718470098740185,True
