estimator,experiment,scenario,platform,sigma_a,tdma_interval,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ROV,0.005,5.0,GT init,7.712419711260019,7.712419711260019,3.1531181196237283,5.032749371592713,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ASV,0.005,5.0,GT init,1.7918952671004302,1.7918952671004302,1.4387916550985311,3.1242033148500834,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ROV,0.01,5.0,GT init,8.478399430319051,8.478399430319051,3.90270574652548,5.3311964643735275,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ASV,0.01,5.0,GT init,1.74858639416861,1.74858639416861,1.3646660400028643,3.075487125557433,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,GT init,8.014013322166788,8.014013322166788,2.882255591362321,4.553867575130624,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,GT init,1.7723966854975344,1.7723966854975344,1.6285577340071768,3.09819540771436,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ROV,0.05,5.0,GT init,59.42209147309272,59.42209147309272,98.77909953348887,3.893461728935124,False
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ASV,0.05,5.0,GT init,1.7496659534920758,1.7496659534920758,1.5260891182432637,3.0863642133602607,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ROV,0.1,5.0,GT init,126.83797245443836,126.83797245443836,259.3465724926297,4.479051105384188,False
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ASV,0.1,5.0,GT init,1.7953739205046664,1.7953739205046664,1.6372998554913627,3.1135491960290436,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ROV,0.5,5.0,GT init,293.06060671757746,293.06060671757746,38.570138291684415,3.0670123672844105,False
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ASV,0.5,5.0,GT init,1.7297590254533417,1.7297590254533417,1.168887557192459,3.067326913037925,True
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ROV,1.0,5.0,GT init,259.4381972675306,259.4381972675306,53.52466161776501,3.0539028506961228,False
FGO,exp1_noise_sweep_lin,FGO - Scenario 1: Bearing-only,ASV,1.0,5.0,GT init,1.764005332818117,1.764005332818117,1.8115087276203763,3.0949942749164228,True
