estimator,experiment,scenario,platform,sigma_a,tdma_interval,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,1,26.038833901308,26.038833901308,15.690213319599769,10.19017679546724,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,1,1.7717112397174086,1.7717112397174086,0.7746973914366491,3.149957351637334,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,1,2.242426214652015,2.242426214652015,2.955709278606935,3.946025814857654,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,1,1.7794047998662172,1.7794047998662172,1.477544669382863,3.1820327833763136,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,1,1.939569180002896,1.939569180002896,2.944193545306777,3.60893729544526,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,1,1.7882160948995804,1.7882160948995804,1.4696041532540578,3.203063439795673,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,10.0,1,15.675607389528311,15.675607389528311,27.362954831707764,3.902759660351105,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,10.0,1,1.8020713552825265,1.8020713552825265,1.4739031537524832,3.174118753452841,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,10.0,1,2.6459095080156154,2.6459095080156154,6.149528281071183,3.574997106889842,True
FGO,exp3_tdma_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,10.0,1,1.791754666260829,1.791754666260829,1.4864629151560371,3.1640380270494073,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,10.0,1,2.4744092097537567,2.4744092097537567,4.715356665305871,3.5929954318317496,True
FGO,exp3_tdma_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,10.0,1,1.788425850372831,1.788425850372831,1.490159705757433,3.1519812449613394,True
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,20.0,1,28.874062857830204,28.874062857830204,16.87037929513981,4.757146942864672,False
FGO,exp3_tdma_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,20.0,1,1.8010220527542091,1.8010220527542091,1.4952279576420544,3.1509591499750926,True
