t_sim_sec,t_ros_sec,t_ros_ns,rov_id,x_n,y_e,z_d,vx_n,vy_e,vz_d
0.0,1700000000.0,1700000000000000000,1,35.0,10.0,12.0,-3.3749999772680894e-05,0.22499999662501935,0.07199999930875833
0.01,1700000000.01,1700000000009999872,1,34.99999983125,10.002249999991562,12.000719999998273,-3.3749999772680894e-05,0.22499999662501935,0.07199999930875833
0.02,1700000000.02,1700000000020000000,1,34.999999325000005,10.0044999999325,12.001439999986175,-6.749999883481905e-05,0.2249999890312715,0.07199999775355792
0.03,1700000000.03,1700000000029999872,1,34.999998481250024,10.006749999772188,12.002159999953344,-0.00010124999612060037,0.22499997637499547,0.07199999516167566
0.04,1700000000.04,1700000000040000000,1,34.99999730000008,10.00899999946,12.002879999889409,-0.00013499999127475348,0.22499995865619127,0.07199999153284509
0.05,1700000000.05,1700000000049999872,1,34.9999957812502,10.011249998945312,12.003599999784,-0.00016874998358673565,0.2249999358749477,0.07199998686715503
0.06,1700000000.06,1700000000060000000,1,34.99999392500041,10.0134999981775,12.004319999626752,-0.00020249997199073277,0.2249999080312648,0.07199998116478312
0.07,1700000000.07,1700000000069999872,1,34.99999173125076,10.015749997105937,12.005039999407296,-0.00023624995577620211,0.2249998751250537,0.07199997442564054
0.08,1700000000.08,1700000000080000000,1,34.999989200001295,10.01799999568,12.005759999115265,-0.00026999993423260094,0.22499983715631444,0.07199996664954966
0.09,1700000000.09,1700000000089999872,1,34.999986331252074,10.020249993849063,12.006479998740287,-0.0003037499066493865,0.224999794125047,0.07199995783677693
0.1,1700000000.1,1700000000100000000,1,34.99998312500316,10.022499991562501,12.007199998272,-0.0003374998719607447,0.2249997460312514,0.07199994798723353
0.11,1700000000.11,1700000000109999872,1,34.999979581254635,10.024749988769688,12.007919997700032,-0.00037124983016667557,0.22499969287501642,0.07199993710083064
0.12,1700000000.12,1700000000120000000,1,34.99997570000656,10.026999985420002,12.008639997014017,-0.0004049997798460936,0.2249996346564309,0.07199992517765708
0.13,1700000000.13,1700000000130000128,1,34.99997148125904,10.029249981462817,12.009359996203585,-0.00043874972028845605,0.2249995713751396,0.07199991221762403
0.14,1700000000.14,1700000000140000000,1,34.99996692501215,10.031499976847504,12.01007999525837,-0.00047249965113849157,0.22499950303140892,0.07199989822082031
0.15,1700000000.15,1700000000150000128,1,34.999962031266016,10.033749971523445,12.010799994168002,-0.0005062495706198433,0.2249994296252389,0.07199988318724593
0.16,1700000000.16,1700000000160000000,1,34.99995680002074,10.03599996544001,12.011519992922114,-0.000539999479443054,0.22499935115654068,0.07199986711681206
0.17,1700000000.17,1700000000170000128,1,34.99995123127643,10.038249958546576,12.012239991510338,-0.0005737493761870383,0.22499926762540312,0.07199985000960751
