t_sim_sec,t_ros_sec,t_ros_ns,x_n,y_e,z_d,vx_n,vy_e,vz_d,yaw_rad
0.0,1700000000.0,1700000000000000000,30.0,0.0,0.0,1.5,2.0,0.0,0.9272952180016123
0.01,1700000000.01,1700000000009999872,30.014999999375,0.019999996666666832,0.0,1.499999812500004,1.9999990000000833,0.0,0.9272950380015652
0.02,1700000000.02,1700000000020000000,30.029999995,0.03999997333333866,0.0,1.4999992500000625,1.9999960000013333,0.0,0.9272944980008611
0.03,1700000000.03,1700000000029999872,30.044999983125003,0.0599999100000405,0.0,1.4999983125003165,1.99999100000675,0.0,0.9272935979978092
0.04,1700000000.04,1700000000040000000,30.05999996000001,0.07999978666683734,0.0,1.499997000001,1.9999840000213334,0.0,0.9272923379895931
0.05,1700000000.05,1700000000049999872,30.074999921875026,0.09999958333385418,0.0,1.4999953125024414,1.9999750000520833,0.0,0.9272907179722683
0.06,1700000000.06,1700000000060000000,30.08999986500006,0.11999928000129599,0.0,1.4999932500050626,1.999964000108,0.0,0.9272887379407644
0.07,1700000000.07,1700000000069999872,30.104999785625132,0.13999885666946785,0.0,1.4999908125093788,1.999951000200083,0.0,0.927286397888884
0.08,1700000000.08,1700000000080000000,30.119999680000255,0.15999829333879467,0.0,1.499988000016,1.9999360003413327,0.0,0.9272836978093022
0.09,1700000000.09,1700000000089999872,30.13499954437546,0.17999757000984148,0.0,1.499984812525629,1.9999190005467484,0.0,0.9272806376935675
0.1,1700000000.1,1700000000100000000,30.14999937500078,0.19999666668333332,0.0,1.4999812500390624,1.9999000008333305,0.0,0.9272772175321013
0.11,1700000000.11,1700000000109999872,30.164999168126258,0.21999556336017512,0.0,1.4999773125571914,1.9998790012200784,0.0,0.927273437314198
0.12,1700000000.12,1700000000120000000,30.179998920001943,0.23999424004147188,0.0,1.4999730000809999,1.9998560017279916,0.0,0.9272692970280245
0.13,1700000000.13,1700000000130000128,30.1949986268779,0.25999267672854864,0.0,1.4999683126115664,1.9998310023800698,0.0,0.9272647966606207
0.14,1700000000.14,1700000000140000000,30.2099982850042,0.27999085342297025,0.0,1.4999632501500624,1.9998040032013125,0.0,0.927259936197899
0.15,1700000000.15,1700000000150000128,30.22499789063093,0.2999887501265618,0.0,1.4999578126977535,1.9997750042187183,0.0,0.9272547156246446
0.16,1700000000.16,1700000000160000000,30.239997440008192,0.3199863468414283,0.0,1.4999520002559996,1.9997440054612867,0.0,0.9272491349245144
0.17,1700000000.17,1700000000170000128,30.254996929386092,0.3399836235699746,0.0,1.499945812826253,1.9997110069600164,0.0,0.9272431940800387
0.18,1700000000.18,1700000000180000000,30.26999635501476,0.35998056031492554,0.0,1.4999392504100613,1.9996760087479055,0.0,0.927236893072619
0.19,1700000000.19,1700000000190000128,30.284995713144344,0.3799771370793464,0.0,1.4999323130090647,1.9996390108599527,0.0,0.9272302318825294
0.2,1700000000.2,1700000000200000000,30.299995000025,0.3999733338666617,0.0,1.499925000624998,1.9996000133331555,0.0,0.9272232104889157
0.21,1700000000.21,1700000000210000128,30.314994211906907,0.4199691306806764,0.0,1.4999173132596886,1.9995590162065118,0.0,0.927215828869796
0.22,1700000000.22,1700000000220000000,30.32999334504026,0.43996450752559546,0.0,1.499909250915059,1.9995160195210184,0.0,0.9272080870020593
0.23,1700000000.23,1700000000230000128,30.344992395675284,0.4599594444060437,0.0,1.499900813593124,1.9994710233196722,0.0,0.9271999848614665
0.24,1700000000.24,1700000000240000000,30.359991360062207,0.4799539213270858,0.0,1.4998920012959938,1.999424027647469,0.0,0.9271915224226496
0.25,1700000000.25,1700000000249999872,30.374990234451293,0.4999479182942467,0.0,1.499882814025871,1.9993750325514053,0.0,0.9271826996591118
0.26,1700000000.26,1700000000260000000,30.389989015092823,0.5199414153135309,0.0,1.4998732517850524,1.9993240380804753,0.0,0.9271735165432277
0.27,1700000000.27,1700000000269999872,30.4049876982371,0.539934392391443,0.0,1.4998633145759288,1.9992710442856738,0.0,0.9271639730462414
0.28,1700000000.28,1700000000280000000,30.419986280134456,0.5599268295350078,0.0,1.4998530024009844,1.9992160512199948,0.0,0.9271540691382693
0.29,1700000000.29,1700000000289999872,30.43498475703524,0.5799187067517897,0.0,1.499842315262797,1.9991590589384312,0.0,0.9271438047882966
0.3,1700000000.3,1700000000300000000,30.449983125189842,0.5999100040499132,0.0,1.4998312531640388,1.999100067497975,0.0,0.9271331799641792
0.31,1700000000.31,1700000000309999872,30.464981380848663,0.6199007014380826,0.0,1.499819816107475,1.999039076957618,0.0,0.9271221946326432
0.32,1700000000.32,1700000000320000000,30.47997952026214,0.6398907789256024,0.0,1.4998080040959652,1.9989760873783509,0.0,0.9271108487592843
0.33,1700000000.33,1700000000329999872,30.494977539680743,0.6598802165223965,0.0,1.499795817132462,1.9989110988231626,0.0,0.9270991423085669
0.34,1700000000.34,1700000000340000000,30.509975435354963,0.679868994239029,0.0,1.4997832552200123,1.9988441113570423,0.0,0.9270870752438256
