t_sim_sec,t_ros_sec,t_ros_ns,x_n,y_e,z_d,vx_n,vy_e,vz_d,yaw_rad
0.0,1700000000.0,1700000000000000000,0.0015000063806974678,0.0,0.0,1.5,0.0,0.0,0.0
0.01,1700000000.01,1700000000009999872,0.015000063806974677,0.0,0.0,1.5,0.0,0.0,0.0
0.02,1700000000.02,1700000000020000000,0.030000127613949355,0.0,0.0,1.5,0.0,0.0,0.0
0.03,1700000000.03,1700000000029999872,0.04500019142092403,0.0,0.0,1.5,0.0,0.0,0.0
0.04,1700000000.04,1700000000040000000,0.06000025522789871,0.0,0.0,1.5,0.0,0.0,0.0
0.05,1700000000.05,1700000000049999872,0.07500031903487339,0.0,0.0,1.5,0.0,0.0,0.0
0.06,1700000000.06,1700000000060000000,0.09000038284184805,0.0,0.0,1.5,0.0,0.0,0.0
0.07,1700000000.07,1700000000069999872,0.10500044664882274,0.0,0.0,1.5,0.0,0.0,0.0
0.08,1700000000.08,1700000000080000000,0.12000051045579742,0.0,0.0,1.5,0.0,0.0,0.0
0.09,1700000000.09,1700000000089999872,0.1350005742627721,0.0,0.0,1.5,0.0,0.0,0.0
0.1,1700000000.1,1700000000100000000,0.15000063806974678,0.0,0.0,1.5,0.0,0.0,0.0
0.11,1700000000.11,1700000000109999872,0.16500070187672147,0.0,0.0,1.5,0.0,0.0,0.0
0.12,1700000000.12,1700000000120000000,0.1800007656836961,0.0,0.0,1.5,0.0,0.0,0.0
0.13,1700000000.13,1700000000130000128,0.1950008294906708,0.0,0.0,1.5,0.0,0.0,0.0
0.14,1700000000.14,1700000000140000000,0.21000089329764549,0.0,0.0,1.5,0.0,0.0,0.0
0.15,1700000000.15,1700000000150000128,0.22500095710462018,0.0,0.0,1.5,0.0,0.0,0.0
0.16,1700000000.16,1700000000160000000,0.24000102091159484,0.0,0.0,1.5,0.0,0.0,0.0
0.17,1700000000.17,1700000000170000128,0.2550010847185695,0.0,0.0,1.5,0.0,0.0,0.0
0.18,1700000000.18,1700000000180000000,0.2700011485255442,0.0,0.0,1.5,0.0,0.0,0.0
0.19,1700000000.19,1700000000190000128,0.2850012123325189,0.0,0.0,1.5,0.0,0.0,0.0
0.2,1700000000.2,1700000000200000000,0.30000127613949357,0.0,0.0,1.5,0.0,0.0,0.0
0.21,1700000000.21,1700000000210000128,0.31500133994646823,0.0,0.0,1.5,0.0,0.0,0.0
0.22,1700000000.22,1700000000220000000,0.33000140375344295,0.0,0.0,1.5,0.0,0.0,0.0
0.23,1700000000.23,1700000000230000128,0.3450014675604176,0.0,0.0,1.5,0.0,0.0,0.0
0.24,1700000000.24,1700000000240000000,0.3600015313673922,0.0,0.0,1.5,0.0,0.0,0.0
0.25,1700000000.25,1700000000249999872,0.37500159517436693,0.0,0.0,1.5,0.0,0.0,0.0
0.26,1700000000.26,1700000000260000000,0.3900016589813416,0.0,0.0,1.5,0.0,0.0,0.0
0.27,1700000000.27,1700000000269999872,0.40500172278831625,0.0,0.0,1.5,0.0,0.0,0.0
0.28,1700000000.28,1700000000280000000,0.42000178659529097,0.0,0.0,1.5,0.0,0.0,0.0
0.29,1700000000.29,1700000000289999872,0.43500185040226563,0.0,0.0,1.5,0.0,0.0,0.0
0.3,1700000000.3,1700000000300000000,0.45000191420924035,0.0,0.0,1.5,0.0,0.0,0.0
0.31,1700000000.31,1700000000309999872,0.465001978016215,0.0,0.0,1.5,0.0,0.0,0.0
0.32,1700000000.32,1700000000320000000,0.4800020418231897,0.0,0.0,1.5,0.0,0.0,0.0
0.33,1700000000.33,1700000000329999872,0.4950021056301644,0.0,0.0,1.5,0.0,0.0,0.0
0.34,1700000000.34,1700000000340000000,0.510002169437139,0.0,0.0,1.5,0.0,0.0,0.0
0.35000000000000003,1700000000.35,1700000000349999872,0.5250022332441137,0.0,0.0,1.5,0.0,0.0,0.0
0.36,1700000000.36,1700000000360000000,0.5400022970510884,0.0,0.0,1.5,0.0,0.0,0.0
0.37,1700000000.37,1700000000369999872,0.555002360858063,0.0,0.0,1.5,0.0,0.0,0.0
0.38,1700000000.38,1700000000380000000,0.5700024246650378,0.0,0.0,1.5,0.0,0.0,0.0
0.39,1700000000.39,1700000000390000128,0.5850024884720124,0.0,0.0,1.5,0.0,0.0,0.0
0.4,1700000000.4,1700000000400000000,0.6000025522789871,0.0,0.0,1.5,0.0,0.0,0.0
0.41000000000000003,1700000000.41,1700000000410000128,0.6150026160859617,0.0,0.0,1.5,0.0,0.0,0.0
0.42,1700000000.42,1700000000420000000,0.6300026798929365,0.0,0.0,1.5,0.0,0.0,0.0
0.43,1700000000.43,1700000000430000128,0.6450027436999112,0.0,0.0,1.5,0.0,0.0,0.0
0.44,1700000000.44,1700000000440000000,0.6600028075068859,0.0,0.0,1.5,0.0,0.0,0.0
0.45,1700000000.45,1700000000450000128,0.6750028713138605,0.0,0.0,1.5,0.0,0.0,0.0
0.46,1700000000.46,1700000000460000000,0.6900029351208352,0.0,0.0,1.5,0.0,0.0,0.0
0.47000000000000003,1700000000.47,1700000000470000128,0.7050029989278098,0.0,0.0,1.5,0.0,0.0,0.0
0.48,1700000000.48,1700000000480000000,0.7200030627347844,0.0,0.0,1.5,0.0,0.0,0.0
0.49,1700000000.49,1700000000490000128,0.7350031265417593,0.0,0.0,1.5,0.0,0.0,0.0
0.5,1700000000.5,1700000000500000000,0.7500031903487339,0.0,0.0,1.5,0.0,0.0,0.0
0.51,1700000000.51,1700000000509999872,0.7650032541557086,0.0,0.0,1.5,0.0,0.0,0.0
0.52,1700000000.52,1700000000520000000,0.7800033179626832,0.0,0.0,1.5,0.0,0.0,0.0
0.53,1700000000.53,1700000000529999872,0.7950033817696579,0.0,0.0,1.5,0.0,0.0,0.0
0.54,1700000000.54,1700000000540000000,0.8100034455766325,0.0,0.0,1.5,0.0,0.0,0.0
0.55,1700000000.55,1700000000549999872,0.8250035093836073,0.0,0.0,1.5,0.0,0.0,0.0
0.56,1700000000.56,1700000000560000000,0.8400035731905819,0.0,0.0,1.5,0.0,0.0,0.0
0.5700000000000001,1700000000.57,1700000000569999872,0.8550036369975567,0.0,0.0,1.5,0.0,0.0,0.0
0.58,1700000000.58,1700000000580000000,0.8700037008045313,0.0,0.0,1.5,0.0,0.0,0.0
0.59,1700000000.59,1700000000589999872,0.885003764611506,0.0,0.0,1.5,0.0,0.0,0.0
0.6,1700000000.6,1700000000600000000,0.9000038284184807,0.0,0.0,1.5,0.0,0.0,0.0
0.61,1700000000.61,1700000000609999872,0.9150038922254554,0.0,0.0,1.5,0.0,0.0,0.0
0.62,1700000000.62,1700000000620000000,0.93000395603243,0.0,0.0,1.5,0.0,0.0,0.0
0.63,1700000000.63,1700000000630000128,0.9450040198394047,0.0,0.0,1.5,0.0,0.0,0.0
0.64,1700000000.64,1700000000640000000,0.9600040836463793,0.0,0.0,1.5,0.0,0.0,0.0
0.65,1700000000.65,1700000000650000128,0.975004147453354,0.0,0.0,1.5,0.0,0.0,0.0
0.66,1700000000.66,1700000000660000000,0.9900042112603288,0.0,0.0,1.5,0.0,0.0,0.0
0.67,1700000000.67,1700000000670000128,1.0050042750673034,0.0,0.0,1.5,0.0,0.0,0.0
0.68,1700000000.68,1700000000680000000,1.020004338874278,0.0,0.0,1.5,0.0,0.0,0.0
0.6900000000000001,1700000000.69,1700000000690000128,1.0350044026812528,0.0,0.0,1.5,0.0,0.0,0.0
0.7000000000000001,1700000000.7,1700000000700000000,1.0500044664882273,0.0,0.0,1.5,0.0,0.0,0.0
0.71,1700000000.71,1700000000710000128,1.0650045302952023,0.0,0.0,1.5,0.0,0.0,0.0
0.72,1700000000.72,1700000000720000000,1.0800045941021768,0.0,0.0,1.5,0.0,0.0,0.0
