t_sim_sec,t_ros_sec,t_ros_ns,rov_id,x_n,y_e,z_d,vx_n,vy_e,vz_d
0.0,1700000000.0,1700000000000000000,1,200.0,100.0,8.0,0.0,-0.49751859510499463,0.049751859510499465
0.01,1700000000.01,1700000000009999872,1,200.0,99.99502481404895,8.000497518595106,0.0,-0.49751859510499463,0.049751859510499465
0.02,1700000000.02,1700000000020000000,1,200.0,99.9900496280979,8.00099503719021,0.0,-0.49751859510499463,0.049751859510499465
0.03,1700000000.03,1700000000029999872,1,200.0,99.98507444214685,8.001492555785315,0.0,-0.49751859510499463,0.049751859510499465
0.04,1700000000.04,1700000000040000000,1,200.0,99.9800992561958,8.00199007438042,0.0,-0.49751859510499463,0.049751859510499465
0.05,1700000000.05,1700000000049999872,1,200.0,99.97512407024475,8.002487592975525,0.0,-0.49751859510499463,0.049751859510499465
0.06,1700000000.06,1700000000060000000,1,200.0,99.9701488842937,8.00298511157063,0.0,-0.49751859510499463,0.049751859510499465
0.07,1700000000.07,1700000000069999872,1,200.0,99.96517369834265,8.003482630165735,0.0,-0.49751859510499463,0.049751859510499465
0.08,1700000000.08,1700000000080000000,1,200.0,99.9601985123916,8.00398014876084,0.0,-0.49751859510499463,0.049751859510499465
0.09,1700000000.09,1700000000089999872,1,200.0,99.95522332644055,8.004477667355944,0.0,-0.49751859510499463,0.049751859510499465
0.1,1700000000.1,1700000000100000000,1,200.0,99.9502481404895,8.00497518595105,0.0,-0.49751859510499463,0.049751859510499465
0.11,1700000000.11,1700000000109999872,1,200.0,99.94527295453845,8.005472704546156,0.0,-0.49751859510499463,0.049751859510499465
0.12,1700000000.12,1700000000120000000,1,200.0,99.9402977685874,8.00597022314126,0.0,-0.49751859510499463,0.049751859510499465
0.13,1700000000.13,1700000000130000128,1,200.0,99.93532258263635,8.006467741736365,0.0,-0.49751859510499463,0.049751859510499465
0.14,1700000000.14,1700000000140000000,1,200.0,99.9303473966853,8.00696526033147,0.0,-0.49751859510499463,0.049751859510499465
0.15,1700000000.15,1700000000150000128,1,200.0,99.92537221073425,8.007462778926575,0.0,-0.49751859510499463,0.049751859510499465
0.16,1700000000.16,1700000000160000000,1,200.0,99.9203970247832,8.007960297521679,0.0,-0.49751859510499463,0.049751859510499465
0.17,1700000000.17,1700000000170000128,1,200.0,99.91542183883215,8.008457816116785,0.0,-0.49751859510499463,0.049751859510499465
0.18,1700000000.18,1700000000180000000,1,200.0,99.9104466528811,8.00895533471189,0.0,-0.49751859510499463,0.049751859510499465
0.19,1700000000.19,1700000000190000128,1,200.0,99.90547146693005,8.009452853306994,0.0,-0.49751859510499463,0.049751859510499465
0.2,1700000000.2,1700000000200000000,1,200.0,99.900496280979,8.0099503719021,0.0,-0.49751859510499463,0.049751859510499465
0.21,1700000000.21,1700000000210000128,1,200.0,99.89552109502795,8.010447890497204,0.0,-0.49751859510499463,0.049751859510499465
0.22,1700000000.22,1700000000220000000,1,200.0,99.8905459090769,8.01094540909231,0.0,-0.49751859510499463,0.049751859510499465
0.23,1700000000.23,1700000000230000128,1,200.0,99.88557072312585,8.011442927687416,0.0,-0.49751859510499463,0.049751859510499465
0.24,1700000000.24,1700000000240000000,1,200.0,99.8805955371748,8.01194044628252,0.0,-0.49751859510499463,0.049751859510499465
0.25,1700000000.25,1700000000249999872,1,200.0,99.87562035122374,8.012437964877625,0.0,-0.49751859510499463,0.049751859510499465
